time,open,high,low,close,vol
1663891200,19401.63,19500.0,18835.0,18862.72,158822.85898
1663934400,18862.72,19406.73,18531.42,19289.91,227064.05931
1663977600,19288.57,19316.14,18925.94,19051.63,124600.78699
1664020800,19052.24,19225.92,18805.34,18920.5,114895.78047
1664064000,18921.99,19180.21,18913.43,19117.94,80970.35412
1664107200,19117.95,19144.23,18629.2,18807.38,110221.09508
1664150400,18809.13,19318.96,18680.72,18876.62,223788.54951
1664193600,18876.62,19280.0,18817.62,19227.82,215450.66992
1664236800,19226.68,20350.0,19187.63,20229.26,272837.61495
1664280000,20230.35,20385.86,18816.32,19079.13,320423.12666
1664323200,19078.1,19238.28,18471.28,18955.43,262034.68533
1664366400,18954.96,19790.0,18940.02,19412.82,259350.77014
1664409600,19412.82,19629.0,19267.0,19463.04,179004.02283
1664452800,19463.04,19645.52,18843.01,19591.51,227420.90973
1664496000,19590.54,19700.0,19311.99,19436.29,167897.68914
1664539200,19435.79,20185.0,19155.36,19422.61,276425.26426
1664582400,19422.61,19484.0,19159.42,19312.04,88686.65622
1664625600,19312.04,19400.02,19200.0,19310.95,76938.48337
1664668800,19312.24,19395.91,19036.0,19192.43,92701.55177
1664712000,19193.05,19341.58,18920.35,19056.8,114110.91855
1664755200,19057.74,19315.0,18959.68,19245.41,131274.62087
1664798400,19246.81,19719.1,19134.23,19629.08,162311.13125
1664841600,19629.08,20152.0,19490.6,19939.0,148455.13413
1664884800,19939.0,20475.0,19872.02,20337.82,178556.86714
1664928000,20337.82,20365.6,19952.12,20027.43,121512.93764
1664971200,20028.74,20350.0,19730.0,20158.26,190726.8146
1665014400,20158.26,20456.6,20080.01,20245.22,154466.64228
1665057600,20244.46,20324.94,19853.0,19960.67,165655.52792
1665100800,19960.67,20054.41,19810.0,19998.9,72648.3284
1665144000,20000.15,20068.82,19320.0,19530.09,148226.51073
1665187200,19530.09,19627.38,19415.6,19534.21,48594.33306
1665230400,19534.21,19543.23,19237.14,19417.96,53885.76536
1665273600,19416.52,19558.0,19316.04,19468.35,51536.80917
1665316800,19468.35,19555.89,19353.0,19439.02,62364.01764
1665360000,19439.96,19525.0,19107.0,19331.62,88109.51339
1665403200,19333.02,19441.99,19020.25,19131.87,124399.5851
1665446400,19131.87,19158.93,18950.01,19153.68,92328.67996
1665489600,19153.68,19268.09,18860.0,19060.0,151145.1629
1665532800,19060.0,19203.14,19024.65,19114.62,90233.92994
1665576000,19114.62,19238.31,18965.88,19155.53,123592.33737
1665619200,19155.1,19175.13,18566.66,18753.2,124522.7634
1665662400,18754.09,19513.79,18190.0,19375.13,275233.91997
1665705600,19375.58,19951.87,19338.07,19596.25,172346.26226
1665748800,19596.25,19854.48,19070.37,19176.93,179288.06375
1665792000,19176.93,19227.68,19037.39,19167.33,59553.56945
1665835200,19167.33,19199.0,18975.18,19069.39,54294.07287
1665878400,19068.4,19195.0,19063.74,19144.69,50216.57343
1665921600,19144.69,19425.84,19101.0,19262.98,81678.04542
1665964800,19262.98,19545.22,19152.03,19457.58,90909.22401
1666008000,19457.58,19676.96,19419.6,19549.86,131904.65233
1666051200,19548.48,19706.66,19470.0,19563.59,108124.63659
1666094400,19563.59,19680.49,19091.0,19327.44,152188.44189
1666137600,19327.44,19360.16,19140.01,19200.84,85473.2723
1666180800,19201.42,19301.69,19065.97,19123.97,100664.02308
1666224000,19123.35,19253.33,18900.0,19208.09,91652.82852
1666267200,19208.09,19347.82,18929.38,19041.92,131877.30216
1666310400,19041.92,19131.39,18900.0,18945.65,90412.38016
1666353600,18944.99,19250.0,18650.0,19164.37,178898.37753
1666396800,19164.37,19188.0,19112.72,19178.66,49173.18833
1666440000,19178.99,19257.0,19134.0,19204.35,61230.72004
1666483200,19204.29,19221.71,19125.63,19151.78,47025.44736
1666526400,19151.24,19695.0,19070.11,19570.4,120031.75448
1666569600,19570.4,19601.15,19250.59,19423.63,130025.88646
1666612800,19422.9,19450.9,19157.0,19329.72,126142.25821
1666656000,19330.6,19377.1,19237.0,19302.13,68335.07094
1666699200,19301.39,20415.87,19260.82,20080.07,258035.59967
1666742400,20079.02,20783.27,20050.41,20607.81,168229.64268
1666785600,20606.86,21020.0,20338.75,20771.59,212263.05308
1666828800,20771.61,20872.21,20451.71,20622.84,132755.39793
