id,code,tradeStatus,code_name,exchange,type,date
sh.600061,600061,1,国投资本,sh,1,1997-05-19
sh.600062,600062,1,华润双鹤,sh,1,1997-05-22
sh.600063,600063,1,皖维高新,sh,1,1997-05-28
sh.600064,600064,1,南京高科,sh,1,1997-05-06
sh.600066,600066,1,宇通客车,sh,1,1997-05-08
sh.600067,600067,1,冠城新材,sh,1,1997-05-08
sh.600070,600070,1,*ST富润,sh,1,1997-06-04
sh.600071,600071,1,凤凰光学,sh,1,1997-05-28
sh.600072,600072,1,中船科技,sh,1,1997-06-03
sh.600073,600073,1,光明肉业,sh,1,1997-07-04
sh.600075,600075,1,新疆天业,sh,1,1997-06-17
sh.600076,600076,1,康欣新材,sh,1,1997-05-26
sh.600078,600078,1,澄星股份,sh,1,1997-06-27
sh.600079,600079,1,人福医药,sh,1,1997-06-06
sh.600080,600080,1,金花股份,sh,1,1997-06-12
sh.600081,600081,1,东风科技,sh,1,1997-07-03
sh.600082,600082,1,海泰发展,sh,1,1997-06-20
sh.600083,600083,0,*ST博信,sh,1,1997-06-06
sh.600084,600084,1,中信尼雅,sh,1,1997-07-11
sh.600085,600085,1,同仁堂,sh,1,1997-06-25
sh.600088,600088,1,中视传媒,sh,1,1997-06-16
sh.600089,600089,1,特变电工,sh,1,1997-06-18
sh.600094,600094,1,大名城,sh,1,1997-07-03
sh.600095,600095,1,湘财股份,sh,1,1997-07-08
sh.600096,600096,1,云天化,sh,1,1997-07-09
sh.600097,600097,1,开创国际,sh,1,1997-06-19
sh.600098,600098,1,广州发展,sh,1,1997-07-18
sh.600099,600099,1,林海股份,sh,1,1997-07-04
sh.600100,600100,1,同方股份,sh,1,1997-06-27
sh.600101,600101,1,明星电力,sh,1,1997-06-27
sh.600103,600103,1,青山纸业,sh,1,1997-07-03
sh.600104,600104,1,上汽集团,sh,1,1997-11-25
sh.600105,600105,1,永鼎股份,sh,1,1997-09-29
sh.600106,600106,1,重庆路桥,sh,1,1997-06-18
sh.600107,600107,1,美尔雅,sh,1,1997-11-06
sh.600108,600108,1,亚盛集团,sh,1,1997-08-18
sh.600109,600109,1,国金证券,sh,1,1997-08-07
sh.600110,600110,1,诺德股份,sh,1,1997-10-07
sh.600111,600111,1,北方稀土,sh,1,1997-09-24
sh.600113,600113,1,浙江东日,sh,1,1997-10-21
sh.600114,600114,0,东睦股份,sh,1,2004-05-11
sh.600115,600115,1,中国东航,sh,1,1997-11-05
sh.600116,600116,1,三峡水利,sh,1,1997-08-04
sh.600117,600117,1,西宁特钢,sh,1,1997-10-15
sh.600118,600118,1,中国卫星,sh,1,1997-09-08
sh.600119,600119,1,长江投资,sh,1,1998-01-15
sh.600120,600120,1,浙江东方,sh,1,1997-12-01
sh.600121,600121,1,郑州煤电,sh,1,1998-01-07
sh.600123,600123,1,兰花科创,sh,1,1998-12-17
sh.600125,600125,1,铁龙物流,sh,1,1998-05-11
sh.600126,600126,1,杭钢股份,sh,1,1998-03-11
sh.600127,600127,1,金健米业,sh,1,1998-05-06
sh.600128,600128,1,苏豪弘业,sh,1,1997-09-01
sh.600129,600129,1,太极集团,sh,1,1997-11-18
sh.600130,600130,1,波导股份,sh,1,2000-07-06
sh.600131,600131,1,国网信通,sh,1,1998-04-02
sh.600132,600132,1,重庆啤酒,sh,1,1997-10-30
sh.600133,600133,1,东湖高新,sh,1,1998-02-12
sh.600135,600135,1,乐凯胶片,sh,1,1998-01-22
sh.600136,600136,1,ST明诚,sh,1,1998-03-03
sh.600137,600137,1,浪莎股份,sh,1,1998-04-16
sh.600138,600138,1,中青旅,sh,1,1997-12-03
sh.600141,600141,1,兴发集团,sh,1,1999-06-16
sh.600143,600143,1,金发科技,sh,1,2004-06-23
sh.600148,600148,1,长春一东,sh,1,1998-05-20
sh.600149,600149,1,廊坊发展,sh,1,1999-10-14
sh.600150,600150,1,中国船舶,sh,1,1998-05-20
sh.600151,600151,1,航天机电,sh,1,1998-06-05
sh.600152,600152,1,维科技术,sh,1,1998-06-09
sh.600153,600153,1,建发股份,sh,1,1998-06-16
sh.600155,600155,1,华创云信,sh,1,1998-09-18
sh.600156,600156,1,华升股份,sh,1,1998-05-27
sh.600157,600157,1,永泰能源,sh,1,1998-05-13
sh.600158,600158,1,中体产业,sh,1,1998-03-27
